No.,Varietas,Panjang,Besar,Warna,Rasa,Teknik,Musim,Penyakit,PH,Grade Mutu
680,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,tikus,3,Grade D
681,mi kongga,6.4,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
682,IR 64,6.3,4.2,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
683,Beras Merah,7.2,5.2,merah,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade C
684,Beras Hitam,7.4,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,3,Grade B
685,panda wangi,6.4,1.4,putih,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
686,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
687,mi kongga,6.5,3.2,putih,sangat pulen,SRI,Hujan,penggerek batang,4,Grade C
688,IR 64,6.6,4.2,putih,pulen,SRI,Hujan,wereng coklat,4,Grade C
689,Beras Merah,7.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
690,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
691,panda wangi,6.6,1.3,coklat,sangat pulen,SRI,Kemarau,Burung,5,Grade B
692,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,penggerek batang,5,Grade C
693,mi kongga,6.1,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
694,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
695,Beras Merah,7.5,1.2,merah,sangat pulen,SRI,Kemarau,tikus,5,Grade C
696,Beras Hitam,7.3,6.5,hitam,pulen,SRI,Kemarau,Burung,5,Grade C
697,panda wangi,6.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade D
698,ciheran,7.2,2.2,putih,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
699,mi kongga,6.5,3.2,putih,sangat pulen,SRI,Hujan,wereng hijau,2,Grade B
700,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,tikus,2,Grade C
701,Beras Merah,7.4,5.3,merah,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade C
702,Beras Hitam,7.4,6.2,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
703,panda wangi,6.2,1.4,coklat,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade B
704,ciheran,7.2,2.2,putih,pulen,SRI,Kemarau,wereng hijau,3,Grade B
705,mi kongga,6.1,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
706,IR 64,6.1,4.2,putih,pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
707,Beras Merah,7.3,5.3,merah,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade C
708,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,3,Grade C
709,panda wangi,6.3,1.3,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
710,ciheran,7.3,2.3,putih,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
711,mi kongga,6.2,3.3,putih,sangat pulen,SRI,Hujan,Burung,4,Grade C
712,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,penggerek batang,4,Grade C
713,Beras Merah,7.5,1.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
714,Beras Hitam,7.2,6.5,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
715,panda wangi,6.4,1.2,coklat,sangat pulen,SRI,Kemarau,tikus,5,Grade B
716,ciheran,7.2,2.2,putih,pulen,SRI,Kemarau,Burung,5,Grade C
717,mi kongga,6.4,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
718,IR 64,6.3,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
719,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
720,Beras Hitam,7.4,6.2,hitam,pulen,SRI,Kemarau,tikus,5,Grade C
721,panda wangi,6.4,1.4,putih,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade D
722,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
723,mi kongga,6.5,3.2,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
724,IR 64,6.6,4.2,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
725,Beras Merah,7.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
726,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
727,panda wangi,6.6,1.3,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
728,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
729,mi kongga,6.1,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
730,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
731,Beras Merah,7.5,1.2,merah,sangat pulen,SRI,Kemarau,Burung,3,Grade C
732,Beras Hitam,7.3,6.5,hitam,pulen,SRI,Kemarau,penggerek batang,3,Grade C
733,panda wangi,6.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade C
734,ciheran,7.2,2.2,putih,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
735,mi kongga,6.5,3.2,putih,sangat pulen,SRI,Hujan,tikus,4,Grade C
736,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,Burung,4,Grade C
737,Beras Merah,7.4,5.3,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
738,Beras Hitam,7.4,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
739,panda wangi,6.1,1.2,coklat,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
740,ciheran,7.3,2.3,putih,pulen,SRI,Kemarau,tikus,5,Grade C
741,mi kongga,6.5,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
742,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
743,Beras Merah,7.2,5.1,merah,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade B
744,Beras Hitam,7.1,6.3,hitam,pulen,SRI,Kemarau,wereng hijau,5,Grade B
745,panda wangi,6.2,1.2,putih,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade D
746,ciheran,7.1,2.3,putih,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
747,mi kongga,6.3,3.3,putih,sangat pulen,SRI,Hujan,penggerek batang,2,Grade D
748,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,wereng coklat,2,Grade D
749,Beras Merah,7.5,5.1,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
750,Beras Hitam,7.3,6.3,hitam,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
751,panda wangi,6.5,1.1,coklat,sangat pulen,SRI,Kemarau,Burung,3,Grade C
752,ciheran,7.5,2.2,putih,pulen,SRI,Kemarau,penggerek batang,3,Grade D
753,mi kongga,6.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
754,IR 64,6.5,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
755,Beras Merah,7.2,5.2,merah,sangat pulen,SRI,Kemarau,tikus,3,Grade C
756,Beras Hitam,7.1,6.4,hitam,pulen,SRI,Kemarau,Burung,3,Grade C
757,panda wangi,6.3,1.1,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade C
758,ciheran,7.3,2.4,putih,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
759,mi kongga,6.2,3.2,putih,sangat pulen,SRI,Hujan,wereng hijau,4,Grade B
760,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,tikus,4,Grade C
761,Beras Merah,7.5,5.2,merah,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
762,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
763,panda wangi,6.4,1.4,coklat,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade A
764,ciheran,7.2,2.2,putih,pulen,SRI,Kemarau,wereng hijau,5,Grade B
765,mi kongga,6.4,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
766,IR 64,6.3,4.3,putih,pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
767,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade B
768,Beras Hitam,7.4,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,5,Grade B
769,panda wangi,6.4,1.1,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
770,ciheran,7.3,2.3,putih,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
771,mi kongga,6.5,3.5,putih,sangat pulen,SRI,Hujan,Burung,2,Grade C
772,IR 64,6.6,4.5,putih,pulen,SRI,Hujan,penggerek batang,2,Grade D
773,Beras Merah,7.2,5.5,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
774,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
775,panda wangi,6.6,1.3,coklat,sangat pulen,SRI,Kemarau,tikus,3,Grade C
776,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,Burung,3,Grade D
777,mi kongga,6.1,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
778,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
779,Beras Merah,7.5,5.2,merah,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
780,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,tikus,3,Grade C
781,panda wangi,6.1,1.4,putih,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
782,ciheran,7.4,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
783,mi kongga,6.2,3.2,putih,sangat pulen,SRI,Hujan,wereng coklat,4,Grade C
784,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,wereng hijau,4,Grade B
785,Beras Merah,7.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
786,Beras Hitam,7.5,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
787,panda wangi,6.3,1.2,coklat,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade A
788,ciheran,7.5,2.3,putih,pulen,SRI,Kemarau,wereng coklat,5,Grade B
789,mi kongga,6.3,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
790,IR 64,6.2,4.2,putih,pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
791,Beras Merah,7.1,5.1,merah,sangat pulen,SRI,Kemarau,Burung,5,Grade C
792,Beras Hitam,7.5,6.3,hitam,pulen,SRI,Kemarau,penggerek batang,5,Grade B
793,panda wangi,6.2,1.2,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade D
794,ciheran,7.3,2.3,putih,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
795,mi kongga,6.4,3.3,putih,sangat pulen,SRI,Hujan,tikus,2,Grade C
796,IR 64,6.2,4.2,putih,pulen,SRI,Hujan,Burung,2,Grade C
797,Beras Merah,7.1,5.1,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
798,Beras Hitam,7.3,6.3,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
799,panda wangi,6.3,1.1,coklat,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
800,ciheran,7.3,2.2,putih,pulen,SRI,Kemarau,tikus,3,Grade D
801,mi kongga,6.4,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
802,IR 64,6.2,4.3,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
803,Beras Merah,7.1,5.2,merah,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade C
804,Beras Hitam,7.3,6.4,hitam,pulen,SRI,Kemarau,wereng hijau,3,Grade B
805,panda wangi,6.1,1.1,putih,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
806,ciheran,7.3,2.4,putih,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
807,mi kongga,6.5,3.2,putih,sangat pulen,SRI,Hujan,penggerek batang,4,Grade C
808,IR 64,6.2,4.3,putih,pulen,SRI,Hujan,wereng coklat,4,Grade C
809,Beras Merah,7.2,5.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
810,Beras Hitam,7.4,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
811,panda wangi,6.2,1.4,coklat,sangat pulen,SRI,Kemarau,Burung,5,Grade B
812,ciheran,7.2,2.2,putih,pulen,SRI,Kemarau,penggerek batang,5,Grade C
813,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
814,IR 64,6.5,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
815,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,tikus,5,Grade C
816,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,Burung,5,Grade C
817,panda wangi,6.2,1.1,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade D
818,ciheran,7.2,2.3,putih,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
819,mi kongga,6.1,3.5,putih,sangat pulen,SRI,Hujan,wereng hijau,2,Grade B
820,IR 64,6.1,4.5,putih,pulen,SRI,Hujan,tikus,2,Grade C
821,Beras Merah,7.3,5.5,merah,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade C
822,Beras Hitam,7.5,6.2,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
823,panda wangi,6.1,1.3,coklat,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade B
824,ciheran,7.4,2.3,putih,pulen,SRI,Kemarau,wereng hijau,3,Grade B
825,mi kongga,6.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
826,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
827,Beras Merah,7.2,5.2,merah,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade C
828,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,3,Grade C
829,panda wangi,6.1,1.4,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
830,ciheran,7.1,2.2,putih,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
831,mi kongga,6.5,3.2,putih,sangat pulen,SRI,Hujan,Burung,4,Grade C
832,IR 64,6.3,4.2,putih,pulen,SRI,Hujan,penggerek batang,4,Grade C
833,Beras Merah,7.4,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
834,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
835,panda wangi,6.4,1.3,coklat,sangat pulen,SRI,Kemarau,tikus,5,Grade B
836,ciheran,7.1,2.3,putih,pulen,SRI,Kemarau,Burung,5,Grade C
837,mi kongga,6.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
838,IR 64,6.3,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
839,Beras Merah,7.2,1.2,merah,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
840,Beras Hitam,7.3,6.5,hitam,pulen,SRI,Kemarau,tikus,5,Grade C
841,panda wangi,6.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade D
842,ciheran,7.1,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
843,mi kongga,6.5,3.2,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
844,IR 64,6.3,4.3,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
845,Beras Merah,7.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
846,Beras Hitam,7.4,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
847,panda wangi,6.2,1.4,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
848,ciheran,7.1,2.2,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
849,mi kongga,6.3,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
850,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
851,Beras Merah,7.5,5.3,merah,sangat pulen,SRI,Kemarau,Burung,3,Grade C
852,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,3,Grade C
853,panda wangi,6.5,1.3,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade C
854,ciheran,7.5,2.3,putih,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
855,mi kongga,6.2,3.3,putih,sangat pulen,SRI,Hujan,tikus,4,Grade C
856,IR 64,6.5,4.2,putih,pulen,SRI,Hujan,Burung,4,Grade C
857,Beras Merah,7.2,1.2,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
858,Beras Hitam,7.1,6.5,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
859,panda wangi,6.3,1.2,coklat,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
860,ciheran,7.3,2.2,putih,pulen,SRI,Kemarau,tikus,5,Grade C
861,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
862,IR 64,6.4,4.3,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
863,Beras Merah,7.5,5.3,merah,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade B
864,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,5,Grade B
865,panda wangi,6.4,1.4,putih,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade D
866,ciheran,7.2,2.2,putih,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
867,mi kongga,6.4,3.2,putih,sangat pulen,SRI,Hujan,penggerek batang,2,Grade D
868,IR 64,6.3,4.2,putih,pulen,SRI,Hujan,wereng coklat,2,Grade D
869,Beras Merah,7.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
870,Beras Hitam,7.4,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
871,panda wangi,6.4,1.3,coklat,sangat pulen,SRI,Kemarau,Burung,3,Grade C
872,ciheran,7.3,2.3,putih,pulen,SRI,Kemarau,penggerek batang,3,Grade D
873,mi kongga,6.5,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
874,IR 64,6.6,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
875,Beras Merah,7.2,1.2,merah,sangat pulen,SRI,Kemarau,tikus,3,Grade C
876,Beras Hitam,7.3,6.5,hitam,pulen,SRI,Kemarau,Burung,3,Grade C
877,panda wangi,6.6,1.2,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade C
878,ciheran,7.2,2.2,putih,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
879,mi kongga,6.1,3.2,putih,sangat pulen,SRI,Hujan,wereng hijau,4,Grade B
880,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,tikus,4,Grade C
881,Beras Merah,7.5,5.3,merah,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
882,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
883,panda wangi,6.1,1.2,coklat,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade A
884,ciheran,7.4,2.3,putih,pulen,SRI,Kemarau,wereng hijau,5,Grade B
885,mi kongga,6.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
886,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
887,Beras Merah,7.2,5.1,merah,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade B
888,Beras Hitam,7.5,6.3,hitam,pulen,SRI,Kemarau,wereng coklat,5,Grade B
889,panda wangi,6.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
890,ciheran,7.5,2.3,putih,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
891,mi kongga,6.3,3.3,putih,sangat pulen,SRI,Hujan,Burung,2,Grade C
892,IR 64,6.2,4.2,putih,pulen,SRI,Hujan,penggerek batang,2,Grade D
893,Beras Merah,7.1,5.1,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
894,Beras Hitam,7.5,6.3,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
895,panda wangi,6.2,1.1,coklat,sangat pulen,SRI,Kemarau,tikus,3,Grade C
896,ciheran,7.4,2.2,putih,pulen,SRI,Kemarau,Burung,3,Grade D
897,mi kongga,6.1,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
898,IR 64,6.4,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
899,Beras Merah,7.3,5.2,merah,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
900,Beras Hitam,7.2,6.4,hitam,pulen,SRI,Kemarau,tikus,3,Grade C
901,panda wangi,6.1,1.1,putih,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
902,ciheran,7.1,2.4,putih,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
903,mi kongga,6.5,3.2,putih,sangat pulen,SRI,Hujan,wereng coklat,4,Grade C
904,IR 64,6.3,4.3,putih,pulen,SRI,Hujan,wereng hijau,4,Grade B
905,Beras Merah,7.4,5.2,merah,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
906,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
907,panda wangi,6.1,1.4,coklat,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade A
908,ciheran,7.3,2.2,putih,pulen,SRI,Kemarau,wereng coklat,5,Grade B
909,mi kongga,6.5,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
910,IR 64,6.2,4.3,putih,pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
911,Beras Merah,7.4,5.3,merah,sangat pulen,SRI,Kemarau,Burung,5,Grade C
912,Beras Hitam,7.1,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,5,Grade B
913,panda wangi,6.4,1.1,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade D
914,ciheran,7.4,2.3,putih,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
915,mi kongga,6.2,3.5,putih,sangat pulen,SRI,Hujan,tikus,2,Grade C
916,IR 64,6.1,4.5,putih,pulen,SRI,Hujan,Burung,2,Grade C
917,Beras Merah,7.4,5.5,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
918,Beras Hitam,7.5,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
919,panda wangi,6.5,1.3,coklat,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
920,ciheran,7.5,2.3,putih,pulen,SRI,Kemarau,tikus,3,Grade D
921,mi kongga,6.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
922,IR 64,6.5,4.2,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
923,Beras Merah,7.2,5.2,merah,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade C
924,Beras Hitam,7.1,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,3,Grade B
925,panda wangi,6.3,1.4,putih,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
926,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
927,mi kongga,6.2,3.2,putih,sangat pulen,SRI,Hujan,penggerek batang,4,Grade C
928,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,wereng coklat,4,Grade C
929,Beras Merah,7.5,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
930,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
931,panda wangi,6.4,1.2,coklat,sangat pulen,SRI,Kemarau,Burung,5,Grade B
932,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,penggerek batang,5,Grade C
933,mi kongga,6.4,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
934,IR 64,6.3,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
935,Beras Merah,7.2,5.1,merah,sangat pulen,SRI,Kemarau,tikus,5,Grade C
936,Beras Hitam,7.4,6.3,hitam,pulen,SRI,Kemarau,Burung,5,Grade C
937,panda wangi,6.4,1.2,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade D
938,ciheran,7.3,2.3,putih,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
939,mi kongga,6.5,3.3,putih,sangat pulen,SRI,Hujan,wereng hijau,2,Grade B
940,IR 64,6.6,4.2,putih,pulen,SRI,Hujan,tikus,2,Grade C
941,Beras Merah,7.2,5.1,merah,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade C
942,Beras Hitam,7.3,6.3,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
943,panda wangi,6.6,1.1,coklat,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade B
944,ciheran,7.2,2.2,putih,pulen,SRI,Kemarau,wereng hijau,3,Grade B
945,mi kongga,6.1,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
946,IR 64,6.4,4.3,putih,pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
947,Beras Merah,7.5,5.2,merah,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade C
948,Beras Hitam,7.3,6.4,hitam,pulen,SRI,Kemarau,wereng coklat,3,Grade C
949,panda wangi,6.1,1.1,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
950,ciheran,7.4,2.4,putih,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
951,mi kongga,6.2,3.2,putih,sangat pulen,SRI,Hujan,Burung,4,Grade C
952,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,penggerek batang,4,Grade C
953,Beras Merah,7.2,5.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
954,Beras Hitam,7.5,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
955,panda wangi,6.3,1.4,coklat,sangat pulen,SRI,Kemarau,tikus,5,Grade B
956,ciheran,7.5,2.2,putih,pulen,SRI,Kemarau,Burung,5,Grade C
957,mi kongga,6.3,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
958,IR 64,6.2,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
959,Beras Merah,7.1,5.3,merah,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
